Id,SalePrice
1461,120103.57577567743
1462,165180.76927380823
1463,186513.2865078037
1464,205344.38233969302
1465,227638.7998452318
1466,177493.45652408295
1467,181275.55598180275
1468,169116.59841618713
1469,207881.42292717274
1470,115860.76371399396
1471,179472.3536785977
1472,97561.60475871764
1473,98059.9789747533
1474,156866.9111638994
1475,101681.18370464853
1476,370462.5836902436
1477,241081.03495025355
1478,335251.5781697588
1479,331344.11284793704
1480,458811.1687388284
1481,324163.67708945624
1482,231567.66503745594
1483,173331.84538586298
1484,175670.6207180333
1485,191187.53403687698
1486,197850.23732007403
1487,357706.5267902162
1488,234197.01615472403
1489,187579.42437303747
1490,254985.6409240729
1491,193617.8786104323
1492,103257.103557367
1493,227020.559525267
1494,303172.44552247995
1495,307204.38938621
1496,249139.18024974142
1497,177147.04636544368
1498,181099.16893568536
1499,176061.49825567863
1500,171963.35300183928
1501,177157.80733605733
1502,166973.43397561985
1503,289037.36089049676
1504,243878.19927653382
1505,231983.21119873348
1506,191509.61087997427
1507,233582.32730838493
1508,194057.06687845418
1509,162041.025037194
1510,149982.74231881145
1511,134989.0348396438
1512,169997.64699878276
1513,147009.8610228826
1514,151455.8738962648
1515,194603.49161128709
1516,153976.24073944357
1517,180857.84477295747
1518,130914.68693529934
1519,195120.1972765099
1520,117209.08209066681
1521,121537.38017583429
1522,179877.4786604667
1523,97545.680661876
1524,110158.21530893887
1525,113517.85687314
1526,96505.62405531139
1527,105702.24091479758
1528,134826.1044899248
1529,136504.85921192984
1530,213004.64753786937
1531,135461.00321117602
1532,106278.32483957858
1533,146100.99150903113
1534,114450.56212022228
1535,156172.44751117637
1536,112685.59455772558
1537,80654.05930530115
1538,165366.48280568753
1539,187583.91219651635
1540,106547.4136706518
1541,143867.47457495745
1542,153445.11559580572
1543,181477.16398551848
1544,93295.97780098883
1545,111206.57983743238
1546,159497.2272691804
1547,155114.47575390287
1548,140750.91966114266
1549,134394.9686788371
1550,146281.25017028797
1551,108128.903307145
1552,164544.62401062078
1553,152944.4501279279
1554,116013.88224745783
1555,175465.08907303866
1556,128176.39196621392
1557,87139.04759702041
1558,92560.60363327972
1559,106752.10144382025
1560,118356.34045691989
1561,116568.91942551389
1562,131915.21266628747
1563,110277.86257930352
1564,165024.74388718457
1565,165117.53950815287
1566,227754.3441184968
1567,74221.9634608648
1568,219902.97473560483
1569,143487.66349392905
1570,139231.54112792242
1571,116120.41097973022
1572,136823.70889048744
1573,204557.2544097515
1574,128557.46872484659
1575,242867.54287496308
1576,249155.12044722022
1577,185542.7566240018
1578,153745.03444989215
1579,143091.95702738638
1580,196215.84626650088
1581,173020.61981183113
1582,138827.6015547331
1583,261045.71243296337
1584,229263.32138314235
1585,148417.98460351783
1586,96574.01389039324
1587,89144.63052312797
1588,146810.21884097136
1589,93806.34019888581
1590,118199.60532319505
1591,77627.38701640912
1592,133839.93080228788
1593,118211.05694919471
1594,136488.37526297884
1595,116512.89672032322
1596,229737.829392431
1597,204755.57928949362
1598,207559.42072576281
1599,179765.49525319797
1600,169215.02836397864
1601,47785.311104333785
1602,118137.5728339369
1603,85056.6610402397
1604,289371.27846477705
1605,219037.23926438097
1606,169277.86998561927
1607,171650.3066294673
1608,216881.9667262478
1609,168028.2913308801
1610,159098.5387519648
1611,142711.1848609305
1612,188172.76936523395
1613,169028.16659115156
1614,144374.09771821363
1615,97859.21941347497
1616,70712.24371947417
1617,89025.9169523609
1618,118494.2168787909
1619,132963.26918718757
1620,175952.76979803655
1621,129783.61877582892
1622,160865.51920342492
1623,258036.8333501979
1624,223072.8800593706
1625,106320.31559400684
1626,167917.1179300448
1627,189423.25213968783
1628,276677.6782200168
1629,185693.19843178504
1630,333723.5535116679
1631,245544.53434091777
1632,248975.31789010682
1633,185018.07404444698
1634,192354.48461670303
